 ,Mean,Ch,microns
319,663.894,319,318
320,665.509,320,319
321,666.808,321,320
322,663.953,322,321
323,663.993,323,322
324,664.586,324,323
325,666.546,325,324
326,669.867,326,325
327,670.359,327,326
328,669.516,328,327
329,669.478,329,328
330,667.301,330,329
331,666.179,331,330
332,666.443,332,331
333,666.190,333,332
334,666.674,334,333
335,665.965,335,334
336,665.426,336,335
337,664.591,337,336
338,667.116,338,337
339,670.027,339,338
340,673.259,340,339
341,678.561,341,340
342,681.029,342,341
343,679.822,343,342
344,681.414,344,343
345,682.197,345,344
346,684.390,346,345
347,685.215,347,346
348,681.892,348,347
349,680.042,349,348
350,677.209,350,349
351,674.595,351,350
352,679.340,352,351
353,679.090,353,352
354,678.972,354,353
355,681.577,355,354
356,682.566,356,355
357,684.949,357,356
358,684.949,358,357
359,686.284,359,358
360,687.569,360,359
361,685.197,361,360
362,682.061,362,361
363,682.288,363,362
364,684.406,364,363
365,682.071,365,364
366,681.791,366,365
367,679.868,367,366
368,678.123,368,367
369,677.584,369,368
370,677.705,370,369
371,675.156,371,370
372,675.325,372,371
373,676.629,373,372
374,677.463,374,373
375,678.342,375,374
376,677.570,376,375
377,674.994,377,376
378,675.574,378,377
379,674.410,379,378
380,677.125,380,379
381,677.879,381,380
382,676.831,382,381
383,682.421,383,382
384,682.436,384,383
385,683.952,385,384
386,682.887,386,385
387,685.342,387,386
388,685.616,388,387
389,684.941,389,388
390,683.846,390,389
391,681.210,391,390
392,681.253,392,391
393,682.973,393,392
394,685.224,394,393
395,684.958,395,394
396,687.731,396,395
397,687.137,397,396
398,684.795,398,397
399,683.927,399,398
400,680.876,400,399
401,678.797,401,400
402,678.602,402,401
403,679.984,403,402
404,681.549,404,403
405,682.963,405,404
406,685.830,406,405
407,688.175,407,406
408,685.831,408,407
409,685.941,409,408
410,687.686,410,409
411,687.435,411,410
412,686.594,412,411
413,690.747,413,412
414,690.968,414,413
415,690.723,415,414
416,691.614,416,415
417,691.525,417,416
418,691.639,418,417
419,686.617,419,418
420,686.094,420,419
421,683.712,421,420
422,686.388,422,421
423,688.223,423,422
424,686.387,424,423
425,687.668,425,424
426,687.014,426,425
427,688.410,427,426
428,689.256,428,427
429,690.739,429,428
430,689.430,430,429
431,690.133,431,430
432,687.972,432,431
433,686.997,433,432
434,686.063,434,433
435,686.047,435,434
436,684.205,436,435
437,683.467,437,436
438,683.162,438,437
439,685.311,439,438
440,683.649,440,439
441,683.972,441,440
442,685.458,442,441
443,684.663,443,442
444,687.665,444,443
445,688.302,445,444
446,686.355,446,445
447,689.797,447,446
448,689.118,448,447
449,689.320,449,448
450,686.925,450,449
451,685.154,451,450
452,685.355,452,451
453,688.599,453,452
454,687.703,454,453
455,687.550,455,454
456,687.061,456,455
457,688.302,457,456
458,687.332,458,457
459,685.527,459,458
460,683.519,460,459
461,682.994,461,460
462,683.244,462,461
463,684.679,463,462
464,685.592,464,463
465,684.897,465,464
466,686.293,466,465
467,685.522,467,466
468,681.430,468,467
469,680.173,469,468
470,680.455,470,469
471,680.297,471,470
472,678.889,472,471
473,676.881,473,472
474,678.516,474,473
475,675.950,475,474
476,678.625,476,475
477,677.184,477,476
478,675.298,478,477
479,676.349,479,478
480,676.972,480,479
481,677.117,481,480
482,678.662,482,481
483,678.929,483,482
484,681.532,484,483
485,681.591,485,484
486,684.319,486,485
487,683.420,487,486
488,682.755,488,487
489,682.448,489,488
490,680.174,490,489
491,678.254,491,490
492,676.883,492,491
493,678.711,493,492
494,675.527,494,493
495,675.381,495,494
496,658.674,496,495
497,656.546,497,496
498,654.813,498,497
499,652.554,499,498
500,652.657,500,499
501,653.369,501,500
502,652.792,502,501
503,653.914,503,502
504,652.183,504,503
505,651.579,505,504
506,650.055,506,505
507,650.219,507,506
508,646.822,508,507
509,647.543,509,508
510,647.988,510,509
511,648.156,511,510
512,651.031,512,511
513,651.568,513,512
514,649.963,514,513
515,651.030,515,514
516,650.440,516,515
517,651.481,517,516
518,650.782,518,517
519,651.155,519,518
520,650.370,520,519
521,649.532,521,520
522,650.250,522,521
523,649.590,523,522
524,648.713,524,523
525,648.759,525,524
526,650.415,526,525
527,654.012,527,526
528,655.152,528,527
529,656.228,529,528
530,655.876,530,529
531,652.168,531,530
532,655.816,532,531
