 ,Mean1
533,154.127
534,165.416
535,161.764
536,164.822
537,159.149
538,164.451
539,167.807
540,169.111
541,181.256
542,187.416
543,171.067
544,167.887
545,161.591
546,168.171
547,168.793
548,167.582
549,175.638
550,174.816
551,173.204
552,172.018
553,179.740
554,183.142
555,175.091
556,187.978
557,172.753
558,172.807
559,174.696
560,182.311
561,192.087
562,175.562
563,177.956
564,164.589
565,181.891
566,180.464
567,191.996
568,198.369
569,185.144
570,188.942
571,182.387
572,174.864
573,174.909
574,184.549
575,178.578
576,174.840
577,172.222
578,179.833
579,170.858
580,188.538
581,175.740
582,180.638
583,188.238
584,188.902
585,183.356
586,189.189
587,188.533
588,201.518
589,176.291
590,177.984
591,192.542
592,177.749
593,183.924
594,181.431
595,178.662
596,177.133
597,167.787
598,181.469
599,182.700
600,177.291
