 ,Mean1,X1,Y1
1,584.236,234.833,150.343
2,578.682,234.833,150.343
3,561.508,234.833,150.343
4,558.333,234.833,150.343
5,579.933,234.833,150.343
6,567.123,234.833,150.343
7,572.077,234.833,150.343
8,588.246,234.833,150.343
9,593.062,234.833,150.343
10,586.733,234.833,150.343
11,590.667,234.833,150.343
12,573.010,234.833,150.343
13,594.267,234.833,150.343
14,575.015,234.833,150.343
15,570.831,234.833,150.343
16,583.205,234.833,150.343
17,576.082,234.833,150.343
18,594.190,234.833,150.343
19,563.441,234.833,150.343
20,549.164,234.833,150.343
21,587.887,234.833,150.343
22,577.441,234.833,150.343
23,583.913,234.833,150.343
24,562.349,234.833,150.343
25,599.938,234.833,150.343
26,570.574,234.833,150.343
27,569.031,234.833,150.343
28,553.590,234.833,150.343
29,569.195,234.833,150.343
30,567.882,234.833,150.343
31,588.426,234.833,150.343
32,576.282,234.833,150.343
33,558.241,234.833,150.343
34,550.144,234.833,150.343
35,557.046,234.833,150.343
36,581.867,234.833,150.343
37,582.759,234.833,150.343
38,567.867,234.833,150.343
39,585.810,234.833,150.343
40,572.672,234.833,150.343
41,564.482,234.833,150.343
42,577.918,234.833,150.343
43,576.713,234.833,150.343
44,588.923,234.833,150.343
45,572.046,234.833,150.343
46,566.241,234.833,150.343
47,573.667,234.833,150.343
48,570.574,234.833,150.343
49,569.349,234.833,150.343
50,562.354,234.833,150.343
51,580.056,234.833,150.343
52,574.256,234.833,150.343
53,566.195,234.833,150.343
54,578.174,234.833,150.343
55,598.810,234.833,150.343
56,583.990,234.833,150.343
57,564.872,234.833,150.343
58,581.636,234.833,150.343
59,570.287,234.833,150.343
60,574.651,234.833,150.343
61,553.636,234.833,150.343
62,564.646,234.833,150.343
63,557.549,234.833,150.343
64,553.754,234.833,150.343
65,553.867,234.833,150.343
66,567.749,234.833,150.343
67,552.097,234.833,150.343
68,577.523,234.833,150.343
69,558.933,234.833,150.343
70,560.205,234.833,150.343
71,576.938,234.833,150.343
72,597.262,234.833,150.343
73,545.944,234.833,150.343
74,576.610,234.833,150.343
75,581.385,234.833,150.343
76,585.769,234.833,150.343
77,601.354,234.833,150.343
78,587.523,234.833,150.343
79,577.528,234.833,150.343
80,581.651,234.833,150.343
81,552.995,234.833,150.343
82,581.303,234.833,150.343
83,561.938,234.833,150.343
84,550.205,234.833,150.343
85,557.979,234.833,150.343
86,586.026,234.833,150.343
87,565.897,234.833,150.343
88,552.333,234.833,150.343
89,558.374,234.833,150.343
90,552.697,234.833,150.343
91,559.262,234.833,150.343
92,546.590,234.833,150.343
93,573.328,234.833,150.343
94,569.733,234.833,150.343
95,574.887,234.833,150.343
96,579.887,234.833,150.343
97,560.610,234.833,150.343
98,554.646,234.833,150.343
99,578.856,234.833,150.343
100,566.564,234.833,150.343
101,539.728,234.833,150.343
102,577.133,234.833,150.343
103,566.118,234.833,150.343
104,598.646,234.833,150.343
105,568.097,234.833,150.343
106,553.108,234.833,150.343
107,574.969,234.833,150.343
108,559.149,234.833,150.343
109,590.713,234.833,150.343
110,550.523,234.833,150.343
111,576.672,234.833,150.343
112,566.410,234.833,150.343
113,557.138,234.833,150.343
114,555.672,234.833,150.343
115,578.887,234.833,150.343
116,534.226,234.833,150.343
117,561.990,234.833,150.343
118,549.687,234.833,150.343
119,546.395,234.833,150.343
120,575.072,234.833,150.343
121,560.503,234.833,150.343
122,575.021,234.833,150.343
123,574.308,234.833,150.343
124,558.021,234.833,150.343
125,550.077,234.833,150.343
126,543.779,234.833,150.343
127,556.036,234.833,150.343
