OriginalVariableNames,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150,T151,T152,T153,T154,T155,T156,T157,T158,T159,T160,T161,T162,T163,T164,T165,T166,T167,T168,T169,T170,T171,T172,T173,T174,T175,T176,T177,T178,T179,T180,T181,T182,T183,T184,T185,T186,T187,T188,T189,T190,T191,T192,T193,T194,T195,T196,T197,T198,T199,T200,T201,T202,T203,T204,T205,T206,T207,T208,T209,T210,T211,T212,T213,T214,T215,T216,T217,T218,T219,T220,T221,T222,T223,T224,T225,T226,T227,T228,T229,T230,T231,T232,T233,T234,T235,T236,T237,T238,T239,T240,T241,T242,T243,T244,T245,T246,T247,T248,T249,T250,T251,T252,T253,T254,T255,T256,T257,T258,T259,T260,T261,T262,T263,T264,T265,T266,T267,T268,T269,T270,T271,T272,T273,T274,T275,T276,T277,T278,T279,T280,T281,T282,T283,T284,T285,T286,T287,T288,T289,T290,T291,T292,T293,T294,T295,T296,T297,T298,T299,T300,T301,T302,T303,T304,T305,T306,T307,T308,T309,T310,T311,T312,T313,T314,T315,T316,T317,T318,T319,T320,T321,T322,T323,T324,T325,T326,T327,T328,T329,T330,T331,T332,T333,T334,T335,T336,T337,T338,T339,T340,T341,T342,T343,T344,T345,T346,T347,T348,T349,T350,T351,T352,T353,T354,T355,T356,T357,T358,T359,T360,T361,T362,T363,T364,T365,T366,T367,T368,T369,T370,T371,T372,T373,T374,T375,T376,T377,T378,T379,T380,T381,T382,T383,T384,T385,T386,T387,T388,T389,T390,T391,T392,T393,T394,T395,T396,T397,T398,T399,T400,T401,T402,T403,T404,T405,T406,T407,T408,T409,T410,T411,T412,T413,T414,T415,T416,T417,T418,T419,T420,T421,T422,T423,T424,T425,T426,T427,T428,T429,T430,T431,T432,T433,T434,T435,T436,T437,T438,T439,T440,T441,T442,T443,T444,T445,T446,T447,T448,T449,T450,T451,T452,T453,T454,T455,T456,T457,T458,T459,T460,T461,T462,T463,T464,T465,T466,T467,T468,T469,T470,T471,T472,T473,T474,T475,T476,T477,T478,T479,T480,T481,T482,T483,T484,T485,T486,T487,T488,T489,T490,T491,T492,T493,T494,T495,T496,T497,T498,T499,T500,T501,T502,T503,T504,T505,T506,T507,T508,T509,T510,T511,T512,T513,T514,T515,T516,T517,T518,T519,T520,T521,T522,T523,T524,T525,T526,T527,T528,T529,T530,T531,T532,T533,T534,T535,T536,T537,T538,T539,T540,T541,T542,T543,T544,T545,T546,T547,T548,T549,T550,T551,T552,T553,T554,T555,T556,T557,T558,T559,T560,T561,T562,T563,T564,T565,T566,T567,T568,T569,T570,T571,T572,T573,T574,T575,T576,T577,T578,T579,T580,T581,T582,T583,T584,T585,T586,T587,T588,T589,T590,T591,T592,T593,T594,T595,T596,T597,T598,T599,T600
Mean1,1056.182,927.727,1101.636,1098.273,1015.818,984.455,1008.182,984.182,1028,1086.455,1052.636,1018.909,1052.273,1056.636,1170.182,1021.636,1141,1053.273,1082.727,1022.727,945.182,1164.091,1133.091,1040.818,1032.545,1107.545,1147.455,1043.182,972.818,1028.364,1055,988.909,1055,973.545,1067,1027.182,1002.091,1104.182,1055.636,1037.545,983.273,1092.364,1046.545,1087.182,1026.545,1073.091,1019.182,1262.545,1176.727,1075.909,1107.091,988.727,1032.909,1063.636,1196.818,1293.909,1234.091,1249,1173.091,1141.818,1310,1137.727,1081.545,1135.545,1225.091,1091.545,1158.455,1081.727,1183.727,1135.727,1237.909,1210.364,1096.727,1302.545,1150.364,1146.273,1150.091,1157.909,1218.636,1145.909,1116.455,1124.364,1076.727,1171.455,1135.455,1169.909,1205.909,1144.091,1187.909,1129.636,1109.182,1096.909,1043,1077.909,1080,1016.273,1059.273,1166.727,1039.818,1136.818,1153.818,1108.818,1065.818,1223.727,1136.545,1158.909,1081.091,1092.818,1115,1075,1090.455,1032.091,1261.727,1207.818,1369,1464.636,1252.818,1242.727,1151.091,1211.818,1238.909,1270,1183.727,1137.818,1111.364,1145.273,1159.091,1195.364,1128.091,1195.182,1240.636,1177.909,1140.273,1159.727,1372.909,1147.182,1031.273,1046.909,1074.909,1193.091,1209.818,1111.818,1187.364,1116.182,1038.455,1125.909,1195.455,1128.364,1123.455,1211.818,1366,1285.727,1261,1178,1240.091,1106.545,1095.182,1161.364,1129.727,1043.455,1094.455,1209.455,1102.909,1135.273,1087.909,1045.455,1083.545,1160.727,1389.455,1494,1444.636,1287.545,1374.091,1246.636,1131.182,1208.273,1270.909,1100,1058.364,1203.727,1174.182,1144.818,1153.909,1126.909,1121,1158.909,1114.091,1011.636,1078.273,1145.364,1085.364,1216.909,1136,1145.545,1043.727,1154.545,1123.545,1150.091,1045.636,1084.636,1263.727,1200.364,1193.091,1170.727,1079.455,1154.364,1137.455,1194.818,1054.727,1070.727,990.818,1107,1135.545,1086.182,1138.364,1080.818,1187.818,1213.455,1157.364,1090.818,1263.091,1204.727,1173,1191.545,1218.818,1092.455,1298.364,1301.909,1070.909,1267.909,1107.545,1234.091,1125.818,1231.273,1157.091,1152.545,1215.455,1171.636,1231.273,1149.545,1112.818,1143.455,1149,1286,1146.273,1202.818,1113.455,1179.909,1283.455,1144.364,1301.818,1178.636,1275.091,1087.909,1203.545,1192,1167.818,1115.818,1148.727,1196.273,1220.545,1181.455,1205,1191.727,1179.273,1156.545,1100.364,1229.091,1021.091,1200.364,1160.818,1154.909,1049.273,1055.909,989.545,1043.636,968.909,1124.364,1063.091,1083.727,1051.364,1087.091,1060.909,1142.455,1039.636,1015,1034.727,1083.636,1095.636,1083.636,1280.818,1126.091,1092.545,1248.182,1112.727,1112.545,1058.455,1070.273,1156.364,1075.455,1091.545,1065.273,1179.364,1178.182,1116.818,1148.364,1072,1053.636,1126,1114.182,973.273,1103.182,1031.545,1127,1187.364,1074.455,1060.091,1097.182,1159.818,1203.909,1189.182,1111.545,1165.091,1133.091,1290.818,1159.818,1127.364,1191.727,1283.818,1120.182,1041.727,1112.909,1108.091,1008,1154.364,1196.182,1113.636,1239,1055.091,1122.364,1154.818,1314.636,1218.636,1177.455,1217,1168.364,1132.909,1170.818,1201.182,1234.818,1321.182,1151.727,1089.273,1202.909,1188.636,1096,1228.364,1172.727,1063.909,1161.636,1101.727,1128.273,1086.182,1189.273,1182.545,1136.818,1082.364,1278.636,1178.909,1254.273,1316.545,1149.364,1183.636,1228.727,1215.818,1197,1144.182,1110.182,1310.182,1141.545,1371.636,1223.636,1215.909,1258.091,1108.818,1132.091,1120.273,1056,1147.364,1130.727,1088.364,1043.727,1125.818,1133.273,1185.818,1186.182,1172.455,1134.909,1130.364,988.727,1132.455,1074,1257.182,1134.909,1125.364,1208.182,1220.273,1107.182,1097,1200.273,1185.364,1013.182,1204.182,1031.909,1139.364,1154.636,1196.909,1304.909,1225.636,1171.636,1369.182,1178.182,1154.455,1250.636,1273.727,1120.091,1282.091,1068,1215.545,1215.182,1083.455,1161.636,1077.182,1220.091,1078.636,1107.727,1084.455,1110.273,1186.455,1059.636,1102.182,1124.182,1153.909,1092.909,1025.273,1169,1089.091,1082.091,1041.273,1112.545,1175.909,1195,1183,1140.909,1138.727,1164.273,1181.364,1173.455,1085.727,1258.818,1030.727,1095.091,1090.818,1165,1234.273,1080.636,1238.091,1168.273,1180.364,1027,1131.182,1008.182,1108,1083.273,979.909,1060.636,1216.636,1095.455,1133.636,1159.727,1123.273,1128.091,1156.455,1109.636,1105.909,1189.727,1067.727,1103.182,1163.909,1134.818,1071.818,1115.818,1114.818,1098.727,1127.909,1223.727,1366,1298.091,1170.455,1149.091,1265.455,1302.727,1192.182,1190.636,1141.182,1168.091,1224.182,1215.818,1100.182,1135.364,1393.273,1223.727,1234.545,1226.818,1160.182,1115.455,1175.727,1296.545,1091.182,1156.091,1138.636,1174.273,1175.182,1099.091,1083,1078.364,1127,1149.091,1181.636,1160.727,1116.818,1181.182,1104.091,1100.273,1188.545,1212.727,1166.273,1227.545,1043.182,1164.545,1041.364,1262.818,1225.455,1145.818,1153.818,1212.545,1111.091,1122.909,1214.455,1258.364,1196.636,1199.818,1161.182,1125,1152.091,1162.909,1252.909,1188.182,1276.636,1043.636,1157.182,1033.727,1209.273,1067.818,1185.545,1008.182,1110.636,1109.818,1153.455,1101.273,1128.455,1135.727,1133.455,1205.182,1183.182,1079.091,1115.727,1094.545,1129.909,1142.909,1078.182,1173.909,1180.182,1070.545,1100,1029.091,1123.727,1076.727,1138.182,1078.455,1085.091,1208.455,1203.182,1014.545,1100.727,1123.364,1011.455,1281.273,1160.091,1193.455
Mean2,1203.421,1181.184,1221.211,1261.789,1185.658,1125.079,1209.342,1156.237,1229.737,1260.974,1175.342,1221.711,1197.605,1207.974,1216.211,1174.526,1167.5,1204.421,1165.026,1205.553,1141.868,1203.658,1208.026,1144.289,1192.579,1259.368,1173.132,1146.342,1194.632,1258.079,1340.395,1216.474,1150.711,1178.395,1156.211,1111.053,1227.711,1117,1211.184,1223.342,1247.263,1229.974,1278.342,1192.711,1233.711,1200.053,1223.289,1121.132,1338.026,1229.474,1258.395,1215.316,1247.974,1266.026,1363.921,1366.526,1289.737,1359.395,1194.158,1280.105,1211.105,1233.816,1185.395,1194.316,1123.421,1134.132,1143.895,1121.789,1177.895,1136.711,1184.711,1164.842,1191.5,1129.105,1076.105,1114.763,1164.158,1209.553,1142.632,1101.763,1205.132,1157.579,1099.211,1164.316,1089.289,1096.368,1168.132,1211.289,1142.947,1161.421,1178.184,1142.263,1144.553,1145.684,1135.947,1177.526,1174.132,1151.632,1157.737,1139.237,1116.079,1152.289,1176.711,1206.263,1258.895,1092.842,1126.868,1186.947,1235.237,1159.5,1205.026,1293.974,1223.816,1223.632,1132.368,1211.526,1201.711,1266.526,1269.737,1214.553,1099.737,1065.237,1154.474,1257.711,1188.368,1246.105,1154.316,1138.605,1133.974,1224.447,1159.184,1188.895,1207.816,1211.816,1170.553,1159.237,1143.842,1169.763,1171.474,1211.132,1235.316,1215.132,1153.263,1213.684,1152.263,1207.921,1175.974,1196.026,1138.526,1265.342,1190.658,1208,1191.737,1165.263,1260.158,1207.579,1228.079,1217.342,1271.053,1187.711,1217.053,1242.789,1231.737,1234.237,1183.579,1294.842,1214.737,1085.026,1150.053,1155.737,1202.158,1181.763,1186.605,1155.711,1204.553,1187.132,1259.263,1240.895,1178.5,1237.974,1235.842,1247.263,1261.316,1297.842,1199.921,1232.263,1258.263,1264.974,1269.421,1229.711,1190.421,1236.158,1229.237,1247.711,1238.395,1225.895,1248.053,1294.132,1205.237,1225.974,1288.263,1271.684,1278.632,1236.921,1261.105,1276.395,1234.5,1335.132,1238,1241.289,1288.658,1328.605,1231.237,1238.553,1225.684,1218.184,1186.737,1321.263,1264.789,1265.974,1275.079,1235.026,1265.526,1283.763,1183.132,1265.263,1255.842,1212.368,1164.105,1194.368,1217.211,1240.211,1238.789,1315.421,1224.026,1167.342,1266.816,1165.342,1194.395,1217.263,1325.658,1248.789,1355.789,1385,1234.789,1228.395,1210.974,1231.842,1211.605,1227.737,1254.605,1235.553,1236.211,1202.737,1238.289,1218.579,1235.763,1300.368,1284,1234.789,1190.395,1308.421,1260.974,1216.816,1327.658,1254.342,1323.211,1261.395,1306.368,1357.553,1288.658,1346.711,1343.921,1417.079,1324.026,1279.605,1238.553,1253.789,1304.211,1314.789,1274.816,1235.368,1325.105,1253.316,1258.395,1318.974,1297.947,1255.289,1206.053,1294.132,1287.816,1272.026,1328.395,1260.895,1308.816,1221.763,1338.132,1279.921,1205.605,1219.395,1174.342,1202.921,1280.105,1267.579,1370.474,1270.947,1299.947,1179.895,1240.395,1279.105,1152.211,1360.658,1269.658,1273.737,1240.289,1199.553,1287.868,1248.5,1256.263,1332.684,1390.079,1399.605,1344,1416.789,1350.211,1411.105,1317.684,1322,1343.684,1319.289,1382.526,1379.947,1317.158,1470.132,1444.789,1396.605,1439.368,1353.053,1315.947,1349.579,1284.763,1277.895,1223,1351,1348.632,1255.789,1238.184,1264.632,1304.763,1335.5,1310.395,1289.158,1250.553,1333.132,1226.211,1237.816,1221.763,1285.526,1206.711,1221.421,1241.974,1247.842,1132.237,1213.553,1218.105,1184.474,1241.105,1177.947,1210.921,1193.658,1258.053,1238.763,1249.289,1338.763,1214.474,1280.395,1264.079,1266.026,1271.447,1270.5,1295.921,1440.5,1390.553,1333.421,1366.447,1327.132,1351.553,1301.921,1189.474,1320.763,1233.684,1391.342,1183.132,1271.526,1236.763,1272.711,1282.395,1269.974,1279.789,1257.053,1202.237,1223.526,1265.289,1288.684,1326.184,1321.184,1294.579,1195.211,1193.368,1200.079,1268.947,1275.289,1298.447,1246.105,1292.605,1246.921,1177.579,1219.289,1247.5,1247.842,1235.868,1248.632,1372.632,1375.553,1308.816,1318,1330.053,1257.132,1268.421,1303.263,1315.711,1231.579,1303.974,1318.105,1276.895,1292.079,1311.395,1278.816,1285.184,1336.053,1358.474,1316.816,1363.368,1331.184,1334.105,1411.579,1331.868,1365.553,1446.895,1422.658,1369.974,1343.553,1230.105,1337.763,1345.395,1316.474,1429.605,1473.553,1473.395,1382.026,1251.132,1336.842,1353.605,1366.263,1301.921,1332.868,1296.474,1484.026,1351.711,1244.526,1319.579,1366.553,1386.158,1300.474,1419.237,1257.711,1307.158,1285.921,1355.763,1336.158,1290.447,1294.421,1321.316,1275.684,1243.974,1259.605,1349.263,1197.447,1333.263,1253.737,1295.974,1310.447,1312.5,1366.947,1422.237,1416.395,1334.789,1345.026,1358.447,1333.816,1448.053,1389.868,1359.789,1298.974,1523.263,1403.737,1371.5,1359.342,1364.184,1301.711,1353.5,1335.237,1358.474,1392.447,1273.974,1398.474,1318.526,1351.132,1357.079,1295,1344.632,1396.342,1418.947,1368.316,1346.211,1376.5,1356.553,1301.211,1379.184,1278.079,1247.289,1279.474,1319.921,1355.368,1300.605,1348.132,1322.553,1343.921,1287.868,1260.5,1347.447,1297.816,1309.184,1321.289,1250.868,1333.895,1384.211,1507.605,1458.421,1443.053,1283.526,1414.842,1365.711,1319.316,1287.079,1317.632,1274.816,1427.553,1335.289,1387.868,1345.184,1298.684,1325.842,1336.711,1294.789,1280.947,1342.921,1211.605,1341.316,1276.526,1377.158,1316.211,1321.579,1259.816,1301.632,1286.974,1326.526,1308.553,1353.263,1284.895,1337.316,1378.789,1336.947,1401.605,1271.184,1319.868,1358.842,1380.763,1298.474,1301.737,1300.079,1329.421,1267.842,1289.632,1281.237,1304.553,1290.132,1331.895,1269.395,1318.132
Mean3,958.917,1003.583,852,980.833,991,893.25,1025,1014.583,987.917,1053.917,1108.417,936.25,928.5,922.75,917.25,973.583,999.5,923.667,901.167,931.333,932.083,947.75,951.917,968.5,947.75,949.917,991.75,928.917,930.25,974.417,935.25,969.667,916.417,946.25,884.25,888.417,940.333,971.417,935.917,926.25,903.25,896.417,997.167,955.25,863,870.083,974.75,945.083,1005.083,928.667,985.417,964.167,1002.167,986.167,981.583,1006.583,887.167,942.333,1048.583,1028.25,944.667,940.25,908.833,1029.25,943.083,945.5,989.25,974.25,966.25,964.083,1005.25,929.583,901.167,983.833,987.75,980.583,936.833,1132.5,1016.5,938.833,996.333,1004.25,954.333,936.333,902.917,988.083,1002.417,1018.917,1004,1021.083,1128.833,1018.583,903.25,952.083,1012.667,1081.167,1032.583,1023.417,977.917,983.583,964.5,1044.833,1057.75,1009.667,990.667,1109.833,1073.417,1069.333,994.417,979,993.833,1069,869.333,1056,858.417,1093.583,907.667,1091.167,1053.833,994.5,992.5,963.167,1005.167,984,1020,1074.5,1060.25,895.5,883.667,961.417,1032.167,957.25,903.5,942.833,993.833,1091.25,952.417,1012.583,1005.083,940.917,1024.167,975.75,963,1131,1010.083,1021.667,1045.083,1006.583,1034.417,1049.167,1040.333,936.5,969.333,1119.583,997.083,1021.833,1001.583,1026.75,1075.5,1066.917,977.5,1021.917,908.417,1112.833,1021.417,990.833,952.333,1018.167,948,1094.667,1052.25,994,1021.5,962.25,930.083,928.333,954.5,952.333,980.25,1015.167,946.833,1000.083,1022.167,987.25,1060.667,922.333,989,999.917,910.333,1003.5,945.917,926.917,917.833,927.25,929.083,928.25,1059.75,878.333,935.167,950.083,939,877.667,955.417,950.667,1031.167,937.25,919.667,1089.167,969.833,942.083,974.917,935.583,862.25,974,983.75,872.583,975.167,945.333,1100.917,937.167,937.167,1124,850.5,1061.167,940.083,989.167,989.417,962.25,943.25,989.75,1055.083,963.083,916.5,932.917,941,915.75,1029.333,983.083,957.833,1039.333,991.333,935,930.917,898.083,1012.417,1076.917,958.5,910.583,893.333,949,927.833,1036.833,964.25,981.5,953.917,1053.083,999.667,941.667,874.417,909.417,992.417,988.75,903.083,966.833,1042.417,987.083,981.833,911.167,867.167,970.833,974.5,939.333,1014,1064.25,1043.25,1103.667,1005.75,875.917,950.417,979.25,985.25,1014.167,993.25,950,987.417,988.25,1000.083,919.167,1031.083,1036.833,1053.167,972.75,1058.833,938.583,926.667,1103.583,963.167,950.583,965.75,945.917,975.417,1038,896.083,928.167,969.667,1076.833,1004.417,920.5,1072.667,1030.583,974.583,941.25,1026.75,1032.25,950.167,951.833,1012,922.417,1061.5,918.667,1005,1032.167,1017.333,812.333,946.75,984,884.333,1012.75,984.75,1055.75,927.167,998.917,1121.167,1072.583,1028.167,855.75,936,1019.5,1006.667,903.333,927.25,962.083,941.917,953.917,945.917,978.917,1050.5,1065.25,941.083,1023.333,1062.583,1038.333,928.667,962.333,992.5,925.167,862.667,913.083,1029.583,887.25,949.833,999.583,957.417,1014.333,1066.417,951.083,952.917,1019.083,1012.5,1094.917,1108.833,1083.583,910.667,1032.25,1084.833,973.167,1025.167,972.167,968.417,968.5,985.667,990,1017.75,927.917,1014.25,987.5,886.5,1000.083,974.25,1013.5,1046.917,1184.417,1457.5,1536.667,1710,1349.083,1190.083,1140.583,1054.417,1109.417,855.75,926.583,966.5,1003.5,850.75,1031.583,931,1033.5,1018.833,980.417,1026.417,955.667,1031.5,952.5,1012.667,1008.417,987.833,934.083,909.833,1028.083,870.5,983.75,839,984.333,927.333,955.417,1008.5,953.083,969.417,902.333,859.417,968,964.083,961.917,1008.5,993.167,898.25,973.417,1012.25,1082.083,985.083,1005.583,882.583,998.917,958.083,1013.25,1063.25,1020.667,1074.583,964.667,954.25,978.583,1058.5,927.833,916.75,1082.25,930.167,879.667,895.167,993.167,1036,935.75,933.333,1090,879.833,1020.917,1037.75,898.917,892.417,919.75,1018.25,951.833,944.333,983.083,900.583,1001.667,1006.583,970,1025.917,946.833,914.167,990.583,1061.333,1017.917,945.667,1007.833,1013.25,926.167,961.583,974.75,983.75,1015.167,990.667,968.083,1014.167,970.667,969.083,920.333,1032.25,943.25,961.083,924.917,927.75,965.583,954.25,971.5,986.083,1099.083,1025.333,901.5,994.917,908.5,899.167,962.25,1151.583,1026.833,956.083,1057.917,1031.833,1007.583,965.75,945.167,1043.167,958.667,1030.667,1100.667,974.5,1049.333,897.75,944.5,1030.75,883.583,999.333,940.083,999.417,1017.333,981.083,983.083,991.583,993.5,1005,983.5,1055.833,1052.083,1052.667,1037.333,968.833,1015.417,916.333,951,921.167,1019.25,1006.25,1007.583,939.417,966.333,968,906.667,911.167,975.5,1025.083,941,981.333,947.417,973.25,1016.5,979.25,927.083,961.083,889.167,977.833,907.083,970.167,985,1019.75,979.583,1048.167,1031,932.083,986.083,978.167,940.167,1088.333,886.167,1031.083,998.333,942.833,986.167,1061.25,918.833,855.583,944.333,1016.083,912.333,960.417,1017.667,944,940.75,942.583,1015.167
Mean4,1245.24,1178.52,1152.64,1163,1159.32,1233.04,1172.12,1189.4,1124.12,1269.24,1045,1197.12,1223.44,1160.4,1135.72,1135.2,1192,1222.04,1225.52,1051.88,1157.44,1120.4,1193.2,1173.84,1156.28,1158.68,1149.92,1190.56,1199.24,1168.76,1179.44,1131.16,1212,1121.8,1167.12,1122.96,1080.32,1116.44,1161.2,1177.44,1070.56,1236.28,1119.8,1136.08,1173.88,1091.68,1125.24,1130.12,1148.48,1201.84,1127.24,1139.84,1201.72,1175.12,1288.76,1164.84,1230.12,1102.6,1157.56,1210.24,1166.72,1158.76,1115.84,1099.52,1274.28,1188.16,1171.52,1160.84,1145.48,1223.32,1164.6,1203.24,1160.92,1246.2,1193.32,1240.44,1197.2,1179.32,1227.92,1231.28,1138.2,1155.68,1125.68,1174.2,1182.04,1198.04,1186.84,1236.72,1328.36,1209.88,1282.36,1135.24,1191.6,1226.36,1079.84,1223.72,1127.88,1163.2,1170,1226.84,1145.48,1299.68,1230.92,1190.92,1170.28,1246.36,1222.32,1272.72,1186.6,1156.24,1196.96,1207.48,1204,1193.4,1170.56,1153.72,1172.16,1240.24,1258.88,1265.12,1203.68,1246.4,1187.76,1189.44,1125.64,1190.64,1177.16,1205.36,1110.84,1149.24,1283.96,1110.4,1189.16,1192.16,1188.76,1244.64,1158.28,1216.52,1177.72,1062.64,1115.84,1143.04,1250.96,1127.72,1122.04,1119.68,1151.68,1208.56,1212.8,1125.52,1147.76,1268.2,1224.8,1170.68,1156.4,1112.24,1191.92,1236.2,1234.84,1163.24,1166.2,1181.28,1181.8,1385.6,1145.16,1253.8,1213.52,1218.28,1217,1154.6,1265.04,1156.64,1228.96,1192.84,1171.12,1245.8,1118.04,1238.28,1241.48,1237.84,1159.24,1152.4,1212.84,1207.96,1285.52,1188.76,1159.2,1174.52,1111.36,1234.96,1202.48,1203.56,1200.36,1213.48,1261.72,1158.16,1216.68,1205.4,1183.4,1146.84,1194,1159.76,1163.44,1089.16,1134.6,1141.8,1182.56,1190,1121.36,1180.28,1296.24,1207.08,1212.96,1195.52,1241.2,1204.12,1208.16,1226.76,1259.84,1198.24,1192.48,1151.56,1158.84,1263.56,1187.76,1180.92,1309.2,1183.48,1119.16,1116.88,1236.36,1159.08,1163.16,1135.64,1164.96,1230.84,1107.04,1184.64,1264.72,1163.68,1197.48,1251.32,1187.96,1244.4,1127.16,1219.08,1223.4,1146.6,1222.92,1161.12,1218.76,1186,1174.48,1178.52,1124.48,1150.28,1254.48,1261.16,1192.28,1217.24,1239.88,1221.8,1264.72,1189.48,1273.68,1181.8,1213.64,1112.52,1184.48,1208.48,1136.64,1198.64,1227.44,1147.92,1221.56,1172.6,1165.48,1163.68,1184.24,1271.72,1104.48,1209.64,1259.24,1174.72,1100.92,1143.08,1219.92,1212.76,1200.08,1204.92,1173.72,1237.76,1193.68,1150.32,1267.92,1095.4,1307.72,1189.24,1194.56,1175.32,1216.12,1208.44,1131.04,1210.52,1240,1194.36,1216.56,1134.44,1096.04,1182.72,1220.32,1197.08,1199.28,1075.88,1168.24,1199.84,1225.76,1119.76,1228.16,1159.8,1186.4,1133.64,1108.28,1267.72,1131.88,1217.36,1156.24,1200.64,1168,1158.64,1197.92,1229.12,1247.84,1175.28,1234.4,1093.6,1090.28,1175.48,1200.16,1203.64,1251.04,1238.76,1236.76,1176.88,1142.68,1192.92,1180.96,1185.44,1286,1094.32,1194.72,1277.4,1160.36,1137.52,1266.96,1157.68,1181.32,1133.16,1224.64,1186.24,1158.88,1198.56,1102.84,1187.92,1239.32,1227.84,1190.4,1149.48,1126.92,1195.96,1180.4,1061.8,1133.16,1171.48,1101.4,1201.52,1206,1197.44,1172.8,1140.04,1111.08,1144.84,1135.76,1187.6,1191.2,1224.04,1140.12,1107.64,1131.6,1181.04,1120.72,1105.32,1122.88,1135.88,1188.68,1200.6,1153.2,1235.8,1125.68,1146.88,1146.6,1242.6,1100.2,1099.48,1119.6,1081.12,1196.84,1195.68,1180.16,1093.84,1149.92,1187.44,1165.04,1161.32,1181,1169.96,1171.68,1063.76,1061.28,1060.36,1170.92,1194.08,1096.12,1171.08,1171.52,1185.08,1165.28,1127.76,1126.8,1110.8,1144.16,1116.96,1158.8,1147.12,1096.8,1172.2,1164.32,1225.36,1174.4,1149.84,1135.64,1193.12,1248.16,1121.76,1162.84,1176.32,1163.32,1235.84,1179,1279.72,1190.76,1202.96,1197.84,1207.6,1203.88,1222.36,1189.24,1182,1182.8,1222.76,1198.92,1182,1181.28,1173.12,1202.88,1149.48,1202.28,1249.64,1185.92,1112.16,1233.28,1195.44,1243.8,1252.68,1258.52,1129.16,1143.28,1152.28,1208.92,1176.64,1292.64,1217.8,1263.04,1157.2,1159.32,1084,1100.92,1244.88,1302,1227.8,1234.16,1243.88,1152.12,1214.6,1129.44,1227.72,1224.28,1266.44,1163.08,1193.68,1238.6,1099.32,1243.24,1184.12,1116.16,1173.84,1218.24,1153.92,1149.56,1164.24,1236.56,1188.48,1233.64,1259.48,1178.88,1161,1265.2,1207.88,1213.56,1252,1288.28,1574.2,1516.52,1795.6,1753.28,1614.6,1593.68,1507.48,1305.96,1286,1315.76,1277.64,1164.8,1288.56,1150.44,1185.24,1244.76,1260.8,1162.8,1115.6,1208.24,1165.24,1205.68,1186.56,1216.36,1210.36,1152.6,1252.32,1303.24,1277.6,1203.8,1239.04,1150.4,1203.52,1148.4,1065.4,1251.24,1223.4,1231.64,1182.88,1190.08,1149.6,1167.4,1231.88,1121.72,1158.4,1260.16,1247.44,1181.08,1129.56,1180.08,1146.52,1243.16,1202.32,1078.68,1170.2,1088.8,1239.32,1237.4,1277.44,1179.04,1205.08,1230.08,1187.72,1206.96,1125.36,1159.28,1198.92,1242.68,1152.88,1176.32,1278.68,1135.24,1135.68,1183.88,1279.24,1302.84,1286.24,1261.72,1199.12
